Código único de carrera,Código institución,Área del conocimiento,Tipo de institución,Nombre institución,Nombre carrera,Región,Jornada,Sede,Duración Formal (semestres),Nivel carrera,Matrícula Total Femenina 2025,Matrícula Total Masculina 2025,Matrícula Total 2025,Matrícula 1er año Femenina 2025,Matrícula 1er año Masculina 2025,Matrícula 1er año Total 2025,Porcentaje Municipal,Porcentaje Subvencionado,Porcentaje Pagado,Porcentaje Admin Delegada,Titulación Femenina 2024,Titlación Masculina 2024,Titulación Total 2024,Promedio PAES 2025 de Matrícula 1er año 2025,Vacantes 1er semestre,NEM,Ranking,PAES Lenguaje,PAES Matemáticas,PAES Matemáticas 2,PAES Historia,PAES Ciencias,Otros,Área Carrera Genérica,arancel_unidad_original,arancel_valor,titulacion_unidad_original,titulacion_valor,acreditada,anios_acreditacion,Dirección Sede Central,Página web,Empleabilidad 1er año,Empleabilidad 2° año,ingreso_4to_anio_valor,Retención 1er año,Duración Real (semestres),% titulados con continuidad de estudios,Empleabilidad 1er año_relleno_agregado,Empleabilidad 2° año_relleno_agregado,Retención 1er año_relleno_agregado,ingreso_4to_anio_valor_relleno_agregado,Duración Real (semestres)_relleno_agregado
I1S1C10J4V1,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN HISTORIA,Metropolitana,A Distancia,CASA CENTRAL,8,Profesional,25,43,68,4,3,7,0.26,0.59,0.15,0.0,4,6,10,,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Historia,CLP,3407000,CLP,321000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,,,,,,,True,True,True,True,True
I1S1C10J4V2,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN HISTORIA,Metropolitana,A Distancia,CASA CENTRAL,4,Profesional,0,0,0,0,0,0,,,,,0,0,0,,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Historia,CLP,3407000,CLP,340000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,,,,,,,True,True,True,True,True
I1S1C10J4V3,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN HISTORIA,Metropolitana,A Distancia,CASA CENTRAL,5,Profesional,0,0,0,0,0,0,,,,,0,0,0,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Historia,CLP,3407000,CLP,340000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,,,,,,,True,True,True,True,True
I1S1C12J1V1,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,PSICOLOGIA,Metropolitana,Diurna,CASA CENTRAL,10,Profesional,368,235,603,60,45,105,0.17,0.64,0.16,0.03,10,3,13,561.86,200,30.0,40.0,10.0,10.0,0.0,10.0,10.0,0.0,Psicología,CLP,5629000,CLP,531000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,0.65,0.71,1450000.0,0.9,11.5,0.0,False,False,False,False,True
I1S1C12J2V4,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,PSICOLOGIA,Metropolitana,Vespertina,CASA CENTRAL,8,Profesional,34,10,44,0,0,0,0.36,0.23,0.32,0.09,13,2,15,,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Psicología,CLP,5629000,CLP,562000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,0.65,0.71,1450000.0,0.9,11.5,0.0,False,False,False,False,True
I1S1C12J4V4,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,PSICOLOGIA,Metropolitana,A Distancia,CASA CENTRAL,8,Profesional,893,208,1101,0,0,0,0.3,0.5,0.19,0.01,0,0,0,,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Psicología,CLP,5737000,CLP,531000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,0.65,0.71,1450000.0,0.9,11.5,0.0,False,False,False,False,True
I1S1C185J4V1,1,Arte y Arquitectura,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN ARTES DIGITALES,Metropolitana,A Distancia,CASA CENTRAL,2,Profesional,0,0,0,0,0,0,,,,,0,0,0,,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artes y Licenciatura en Artes,CLP,3407000,CLP,340000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,0.32,0.44,1036736.82,0.83,10.86,,True,True,True,True,True
I1S1C196J1V2,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA CIVIL INFORMATICA,Metropolitana,Diurna,CASA CENTRAL,10,Profesional,8,59,67,2,8,10,0.15,0.65,0.11,0.1,0,0,0,,60,30.0,35.0,10.0,10.0,5.0,10.0,10.0,0.0,Ingeniería Civil en Computación e Informática,CLP,5752000,CLP,543000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,0.88,0.94,2683432.45,0.84,14.12,,True,True,True,True,True
I1S1C20J4V3,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA EN ADMINISTRACION DE EMPRESAS,Metropolitana,A Distancia,CASA CENTRAL,5,Profesional,47,40,87,0,0,0,0.23,0.57,0.13,0.06,8,7,15,,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Administración de Empresas e Ing. Asociadas,CLP,4114000,CLP,377000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,0.78,0.82,1675631.36,0.75,12.03,,True,True,True,True,True
I1S1C20J4V4,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA EN ADMINISTRACION DE EMPRESAS,Metropolitana,A Distancia,CASA CENTRAL,6,Profesional,62,46,108,0,0,0,0.27,0.55,0.16,0.03,10,7,17,,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Administración de Empresas e Ing. Asociadas,CLP,4114000,CLP,377000,True,4,"Av. Ricardo Lyon Nº 1177 - Providencia, Santiago",www.ugm.cl,0.78,0.82,1675631.36,0.75,12.03,,True,True,True,True,True
