Área Carrera Genérica,Área,tipos_institucion,n_tipos_institucion,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Empleabilidad 1er año,Empleabilidad 2° año,Duración Formal,Duración Real,Retención 1er año,Retención 2° año,Titulados Mujeres,Titulados Hombres,Titulados Total,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,arancel_valor,titulacion_valor,puntaje_corte_paes,vacantes_total,vacantes_presencial,matricula_1er_total,matricula_1er_presencial,pct_matricula_distancia,prop_programas_acreditados,n_programas,n_instituciones,carrera_tipo,ingreso_4to_anio_valor,brecha_duracion,costo_total_carrera,anios_recuperar_inversion
Actuación y Teatro,Arte y Arquitectura,Institutos Profesionales / Universidades,2,801534.1131428571,936686.8740714286,910417.9584285713,1004221.3851428572,1002022.0287142858,537128.6655714286,604952.9922142857,750913.0218571429,931842.0264999999,1209181.434142857,574573.0185,677211.1768571428,818959.9042142858,1273733.5942142857,1679002.571,0.17,0.29,0.28,0.25,0.27,0.19000000000000003,0.31,0.38000000000000006,0.3,0.34,0.25585714285714284,0.32057142857142856,8.557928571428572,11.015642857142858,0.7911428571428571,0.7011428571428571,185.0,95.0,280.0,302.0,118.0,420.0,1203.0,546.0,1749.0,5323871.451376147,234736.9486238532,664.5180245398774,337,337,311,311,0.0,1.0,12,10,Actuación y Teatro,1004221.3851428572,2.4577142857142853,23015392.75079627,1.9
Administración Gastronómica,Administración y Comercio,Institutos Profesionales,1,732455.71,768802.32,854799.87,941593.06,954519.32,541527.02,590569.48,681815.69,819401.63,1025328.39,563981.02,647793.39,806389.43,1140025.35,1542821.45,0.2,0.47,0.51,0.5,0.48,0.31,0.48,0.6,0.53,0.57,0.5,0.56,8.0,10.42,0.85,0.73,609.0,464.0,1073.0,978.0,775.0,1753.0,4425.0,3715.0,8140.0,4325750.139806813,41705.02669039146,645.8780555555555,2069,2039,1850,1850,0.0,1.0,29,8,Administración Gastronómica,941593.06,2.42,17344705.58591764,1.5
Administración Pública,Ciencias Sociales,Institutos Profesionales / Universidades,2,1538677.1324913045,1685514.301252174,1815206.9399652171,1911860.4968869565,2001730.7310043476,776760.8394956522,1003507.2571652174,1371988.3248608697,1862612.7123695652,2479683.095121739,1109448.1013956522,1506735.2061913041,1954716.3463478263,2405693.1645391304,2849828.353378261,0.7909260869565218,0.8422999999999999,0.8744086956521739,0.8415652173913043,0.8322999999999999,0.8872521739130435,0.8872521739130435,0.9257826086956522,0.9322043478260869,0.9029391304347827,0.8515652173913043,0.9193608695652172,9.379299999999999,10.487830434782609,0.8013739130434782,0.7163260869565217,1353.0,947.0,2300.0,2219.0,1541.0,3760.0,8532.0,6358.0,14891.0,3806560.951457038,211572.11371638326,632.3961579627238,5084,2235,3372,1913,0.48093490149074836,1.0,115,41,Administración Pública,1911860.4968869565,1.10853043478261,18063010.679716878,0.8
Administración Turística y Hotelera,Administración y Comercio,Institutos Profesionales / Universidades,2,790013.1376334107,861578.119350348,941072.6715081206,1018648.8851044084,1084747.8345243619,555439.6922505801,617256.3515545243,756712.5040603249,930944.3396751741,1126787.6940835265,582793.2913457076,693301.3953596288,951605.3285614848,1259006.4216937355,1737242.4549187936,0.19104408352668212,0.3182830626450116,0.5138051044083527,0.45895591647331785,0.46895591647331786,0.3548491879350348,0.43,0.5727610208816705,0.5755220417633411,0.5655220417633411,0.4772389791183294,0.5727610208816705,8.16013921113689,10.383039443155452,0.8144779582366588,0.7117169373549884,886.0,407.0,1293.0,1062.0,437.0,1499.0,3872.0,2033.0,5905.0,4468274.351585015,152352.07708933717,577.345780104712,2080,2000,1392,1342,0.0389048991354467,1.0,40,10,Administración Turística y Hotelera,1018648.8851044084,2.222900232018562,18383222.448332407,1.5
Administración de Empresas e Ing. Asociadas,Administración y Comercio,Institutos Profesionales / Universidades,2,1347499.3251521073,1422664.469084566,1506103.0758331008,1594183.9690706113,1652119.4088752442,639650.0460061402,817961.4058665922,1127585.0922802119,1653730.5271057773,2380204.2789366455,733289.0146748534,988502.5687440692,1415551.902224393,2006450.7290454926,2760405.214845102,0.7580128384035725,0.8026709461345242,0.8126709461345242,0.7953418922690483,0.7890064192017863,0.7990064192017863,0.8326709461345242,0.8526709461345241,0.8326709461345242,0.8226709461345242,0.7990064192017863,0.8326709461345242,8.081987161596428,10.864272955623779,0.7246581077309516,0.5966452693273794,4667.0,2499.0,7166.0,4818.0,3051.0,7869.0,21803.0,12942.0,34746.0,3076145.6995888934,122343.18513276722,616.0858329008822,11602,5951,7582,4604,0.3946960506806847,1.0,278,38,Administración de Empresas e Ing. Asociadas,1594183.9690706113,2.7822857940273504,12553028.210771518,0.7
Agronomía,Agropecuaria,Universidades,1,1236431.79,1430559.19,1560013.14,1729269.94,1933592.52,589904.74,742928.8,1063960.47,1524050.89,2136224.13,712799.23,1120534.05,1672313.2,2331721.35,3344150.25,0.64,0.73,0.72,0.68,0.66,0.76,0.79,0.81,0.76,0.73,0.68,0.76,10.0,14.22,0.81,0.73,373.0,565.0,938.0,610.0,803.0,1413.0,2907.0,4110.0,7017.0,6569516.692946058,136231.23759028738,634.79985323219,1642,1592,1387,1387,0.009374519747963772,1.0,30,22,Agronomía,1729269.94,4.220000000000001,32983814.702320576,1.6
Animación Digital,Arte y Arquitectura,Institutos Profesionales,1,852936.46,912238.09,981700.87,1017908.43,1099595.91,573400.85,657952.33,799039.06,892752.31,1207800.75,640352.73,709004.71,912775.85,1137899.22,1848049.13,0.4000000000000001,0.48,0.36,0.34,0.34,0.39,0.44,0.6,0.47,0.3499999999999999,0.34,0.46,8.0,10.13,0.85,0.69,123.0,84.0,207.0,281.0,222.0,503.0,1003.0,943.0,1946.0,5017254.3908355795,69930.91482479784,651.1359263271939,1100,1100,997,997,0.0,1.0,13,7,Animación Digital,1017908.43,2.130000000000001,20138948.478167117,1.6
Antropología,Ciencias Sociales,Universidades,1,1324790.38,1433147.68,1540997.44,1623765.13,1679149.65,604930.23,713742.05,1073030.3,1731588.73,2557539.97,743070.08,1143820.1,1504462.53,2416613.24,3368936.99,0.47000000000000003,0.58,0.58,0.69,0.59,0.56,0.69,0.83,0.81,0.71,0.61,0.77,9.87,14.59,0.86,0.8,173.0,101.0,274.0,254.0,144.0,398.0,1439.0,829.0,2268.0,5798546.726432532,159733.67329020333,704.5074580067189,476,476,398,398,0.0,1.0,10,10,Antropología,1623765.13,4.720000000000001,28775561.76823475,1.5
Arquitectura,Arte y Arquitectura,Universidades,1,1083856.17,1230510.74,1373124.53,1493344.75,1606588.1800000002,575695.56,694888.94,916845.5500000002,1207395.45,1602235.1800000002,790948.89,1090984.38,1446963.1800000002,1848924.51,2422022.67,0.6,0.61,0.65,0.62,0.57,0.72,0.75,0.77,0.73,0.73,0.62,0.74,11.22,14.73,0.82,0.75,916.0,800.0,1716.0,2023.0,1449.0,3472.0,9721.0,7982.0,17704.0,6649873.443568492,179477.92204029378,678.7499819281295,3563,3563,3295,3295,0.0,1.0,46,33,Arquitectura,1493344.75,3.51,37485267.940459535,2.1
Artes y Licenciatura en Artes,Arte y Arquitectura,Universidades,1,1025271.26,1061003.8,1001528.01,1036736.8199999998,1153070.9,533056.51,590836.57,734556.23,957776.9099999999,1467540.96,582603.62,684970.4,977491.0799999998,1318498.38,1677752.78,0.28,0.21,0.29,0.38,0.26,0.4,0.4,0.44999999999999996,0.37,0.48000000000000004,0.32,0.44,8.38,10.86,0.83,0.75,435.0,141.0,576.0,645.0,228.0,873.0,2608.0,834.0,3443.0,5694699.333770492,147948.2075409836,644.4856271043772,1056,946,732,732,0.0,1.0,24,16,Artes y Licenciatura en Artes,1036736.8199999998,2.4799999999999986,24008738.416039348,1.9
