ID,Área,Tipo de institución,Área Carrera Genérica,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Ingresos al 4° año 2020,Ingresos al 4° año 2021,Ingresos al 4° año 2022,Ingresos al 4° año 2023,Ingresos al 4° año 2024,Empleabilidad 1er año,Empleabilidad 2° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Titulados Mujeres,Titulados Hombres,Titulados Total,Duración Formal,Duración Real,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,Retención 1er año,Retención 2° año,Municipal y Servicios Locales,Particular Subvencionado,Particular Pagado,Administración Delegada
1,Administración y Comercio,Centros de Formación Técnica,Secretariado Bilingüe,1031117.63,1096161.37,1113420.14,1136314.13,1166457.52,662930.26,761868.78,1017025.23,1458945.52,1890400.34,642466.95,822711.63,1000901.53,1522461.66,1979601.21,1072577.53,1114985.77,1052700.35,1185675.4,1223329.63,0.75,0.74,0.7,0.72,0.78,0.84,0.59,0.75,0.75,0.81,0.67,0.68,35.0,2.0,37.0,6.0,7.24,123.0,15.0,138.0,271.0,27.0,298.0,0.64,,0.21,0.63,0.13,0.03
2,Agropecuaria,Centros de Formación Técnica,Técnico Agropecuario,847957.33,884213.36,935086.08,997009.4,1031960.97,551775.46,636629.66,755239.07,958328.5,1345623.3,578708.82,700736.01,907310.65,1208672.97,1630050.08,949433.73,933116.47,981848.74,971451.7,1054268.02,0.48,0.55,0.41,0.5,0.49,0.44,0.51,0.53,0.56,0.6,0.53,0.54,515.0,579.0,1094.0,4.64,6.66,683.0,745.0,1428.0,1426.0,1639.0,3065.0,0.66,,0.49,0.42,0.02,0.07
3,Educación,Centros de Formación Técnica,Técnico Asistente del Educador de Párvulos,644643.56,669809.43,677571.67,688296.48,711830.2,524986.29,554593.76,618217.56,724572.33,846620.8,536429.87,585010.34,686243.21,798551.79,929580.46,699655.93,694307.47,674155.4,684155.83,712168.4,0.35,0.45,0.33,0.31,0.39,0.34,0.3,0.46,0.41,0.45,0.46,0.44,2495.0,6.0,2501.0,4.96,6.1,3967.0,18.0,3985.0,10206.0,30.0,10236.0,0.73,,0.52,0.44,0.01,0.04
4,Educación,Centros de Formación Técnica,Técnico Asistente del Educador Diferencial,620472.53,646878.66,655863.61,655973.66,708505.67,524841.05,558424.86,612890.6,715889.15,841847.54,535403.18,569860.32,647272.48,770455.69,955081.13,698601.51,678992.64,641607.08,649439.63,686904.64,0.32,0.44,0.28,0.23,0.33,0.35,0.29,0.5,0.37,0.39,0.45,0.47,1065.0,40.0,1105.0,5.02,6.36,1654.0,61.0,1715.0,4414.0,156.0,4570.0,0.74,,0.53,0.44,0.01,0.03
5,Salud,Centros de Formación Técnica,Técnico Dental y Asistente de Odontología,657951.29,694369.97,725072.84,764439.79,801109.65,533958.09,569096.89,625593.28,712310.5,817939.48,546146.62,632402.34,740414.74,857914.48,1027053.75,768186.18,784931.25,770936.68,747837.99,781638.75,0.54,0.59,0.29,0.56,0.61,0.53,0.45,0.4,0.59,0.61,0.59,0.59,735.0,90.0,825.0,4.98,6.13,914.0,179.0,1093.0,2478.0,392.0,2870.0,0.72,,0.47,0.49,0.01,0.04
6,Agropecuaria,Centros de Formación Técnica,Técnico en Acuicultura y Pesca,1303716.18,1361159.54,1485977.24,1431508.93,1528200.38,693679.73,856531.73,1221749.43,1599006.18,2076737.26,781243.68,975925.82,1399105.39,1755713.42,1940236.43,,,,,,0.85,0.87,,,,,,,,,,,26.0,41.0,67.0,5.0,6.61,67.0,99.0,166.0,163.0,191.0,354.0,0.84,,0.49,0.51,0.0,0.0
7,Administración y Comercio,Centros de Formación Técnica,Técnico en Administración de Empresas,971478.24,1037094.02,1094558.68,1191714.25,1266310.64,566006.52,670650.93,851123.71,1125682.98,1478676.48,627221.15,793213.79,1062349.66,1479038.79,2062575.55,1300312.33,1235201.76,1199351.8,1178421.93,1199365.78,0.62,0.68,0.59,0.65,0.63,0.62,0.6,0.66,0.69,0.73,0.66,0.67,2229.0,1172.0,3401.0,4.48,6.32,3808.0,2260.0,6068.0,7873.0,4444.0,12317.0,0.67,,0.46,0.48,0.03,0.03
8,Administración y Comercio,Centros de Formación Técnica,Técnico en Administración de Recursos Humanos y Personal,974163.3,1011203.84,1008672.51,1075790.46,1161148.83,604153.66,712399.65,895150.71,1182177.52,1587418.23,607446.14,777991.82,957174.73,1297151.6,1728551.56,1053646.6,1132616.48,1064266.9,1037239.52,1136248.8,0.69,0.72,0.62,0.67,0.7,0.69,0.69,0.64,0.69,0.76,0.72,0.7,314.0,49.0,363.0,5.0,5.93,413.0,106.0,519.0,1010.0,218.0,1228.0,0.69,,0.45,0.47,0.02,0.06
9,Administración y Comercio,Centros de Formación Técnica,Técnico en Administración Financiera y Finanzas,1295938.99,1345145.13,1252038.11,1233961.64,1327012.24,642925.53,994739.98,1219215.54,1397131.62,2247518.37,591189.12,805636.12,1048509.42,1314782.5,1752210.38,,,,,,0.81,0.8,,,,,,,,,,,43.0,43.0,86.0,4.58,5.96,0.0,0.0,0.0,4.0,4.0,8.0,0.56,,0.33,0.5,0.17,0.0
10,Ciencias Sociales,Centros de Formación Técnica,Técnico en Administración Pública o Municipal,1061381.01,1127266.98,1207581.53,1298736.68,1366383.02,604050.8,685074.54,906042.35,1198803.01,1607091.17,718208.48,916595.08,1171553.76,1672919.48,2056502.53,1175162.09,1324227.25,1375288.76,1311427.46,1234719.73,0.74,0.78,0.79,0.79,0.68,0.76,0.77,0.89,0.84,0.81,0.71,0.81,343.0,109.0,452.0,5.01,5.64,935.0,307.0,1242.0,1864.0,683.0,2547.0,0.64,,0.51,0.45,0.01,0.03
11,Administración y Comercio,Centros de Formación Técnica,Técnico en Comercio Exterior,1024401.75,1092164.68,1122973.96,1176620.47,1274966.7,648584.37,760116.69,966256.04,1282533.78,1736029.4,711503.78,875283.17,1121892.76,1459894.05,1987481.09,1231965.98,1214130.69,1184596.4,1153802.59,1188366.61,0.75,0.76,0.66,0.68,0.78,0.74,0.73,0.71,0.77,0.79,0.75,0.76,190.0,144.0,334.0,4.5,6.85,412.0,271.0,683.0,743.0,514.0,1257.0,0.67,,0.32,0.56,0.07,0.05
12,Tecnología,Centros de Formación Técnica,Técnico en Computación e Informática,1070899.07,1223995.1,1400911.44,1560873.68,1676016.46,588570.52,685054.49,884536.18,1166296.08,1773433.55,684418.77,957156.31,1446514.54,2176641.45,3080814.16,1583101.95,1471265.95,1515520.38,1600203.7,1561287.72,0.67,0.77,0.65,0.66,0.72,0.66,0.63,0.73,0.75,0.82,0.77,0.74,175.0,1101.0,1276.0,4.48,7.1,501.0,2370.0,2871.0,944.0,4970.0,5914.0,0.69,,0.41,0.51,0.04,0.04
